Experimento,Paciente,Accuracy,F1-Score
Personalizado,chb01,0.9305,0.9321
Personalizado,chb02,0.9880,0.9888
Personalizado,chb03,0.9835,0.9837
Personalizado,chb04,0.6377,0.5287
Personalizado,chb05,0.9677,0.9679
Personalizado,chb06,0.7206,0.8186
Personalizado,chb07,0.9451,0.9440
Personalizado,chb08,0.8678,0.8706
Personalizado,chb09,0.9126,0.9154
Personalizado,chb10,0.9703,0.9697
Personalizado,chb11,0.9188,0.9577
Personalizado,chb12,0.8450,0.8447
Personalizado,chb13,0.8472,0.8425
Personalizado,chb14,0.9622,0.9649
Personalizado,chb15,0.9636,0.9633
Personalizado,chb16,0.8441,0.8513
Personalizado,chb17,0.9258,0.9266
Personalizado,chb18,0.7767,0.7849
Personalizado,chb19,0.9671,0.9670
Personalizado,chb20,0.8925,0.9017
Personalizado,chb21,0.9611,0.9683
Personalizado,chb22,0.9750,0.9747
Personalizado,chb23,0.9826,0.9824
Personalizado,chb24,0.9276,0.9267
Leave-One-Out,chb01,0.9471,0.9499
Leave-One-Out,chb02,0.9375,0.9375
