Experimento,Paciente,Accuracy,F1-Score
Leave-One-Out,chb01,0.9677,0.9681
Leave-One-Out,chb02,1.0000,1.0000
Leave-One-Out,chb03,0.9458,0.9414
Leave-One-Out,chb04,0.6619,0.5730
Leave-One-Out,chb05,0.9903,0.9903
Leave-One-Out,chb06,0.9940,0.9941
Leave-One-Out,chb07,0.9305,0.9277
Leave-One-Out,chb08,0.8751,0.8786
Leave-One-Out,chb09,0.9885,0.9884
Leave-One-Out,chb10,0.9890,0.9889
Leave-One-Out,chb11,0.9276,0.9625
Leave-One-Out,chb12,0.8677,0.8678
Leave-One-Out,chb13,0.8785,0.8684
Leave-One-Out,chb14,0.9891,0.9886
Leave-One-Out,chb15,0.9535,0.9528
Leave-One-Out,chb16,0.9846,0.9837
Leave-One-Out,chb17,0.9354,0.9325
Leave-One-Out,chb18,0.7991,0.7910
Leave-One-Out,chb19,0.9556,0.9543
Leave-One-Out,chb20,0.9479,0.9507
Leave-One-Out,chb21,0.9556,0.9646
Leave-One-Out,chb22,0.9595,0.9581
Leave-One-Out,chb23,0.9364,0.9337
Leave-One-Out,chb24,0.9013,0.8958
Leave-One-Out,chb01,0.9471,0.9499
Leave-One-Out,chb02,0.9375,0.9375
