accuracy,f1,patient
0.9256285574277207,0.9176108514637406,chb01
0.8982847153938599,0.8830456199184292,chb02
0.9465920651068158,0.9396095187948658,chb03
0.9499085086916743,0.9479481570553715,chb04
0.8398245073891626,0.8413369804465458,chb05
0.8712265146717332,0.9118561482507292,chb06
0.9575601097305148,0.9569292873353403,chb07
0.6585350318471338,0.6071923532175183,chb08
0.7143751630576571,0.7663018126510438,chb09
0.9572311495673671,0.958117408171734,chb10
0.9280956291632448,0.9285150106767102,chb11
0.7034019319613608,0.6096821385800838,chb12
0.8137983540586593,0.8087360654571308,chb13
0.923636926889715,0.913741302423085,chb14
0.7496824590372158,0.6438041443660883,chb15
0.9622894120272231,0.9553680371643744,chb16
0.9080142123963679,0.9039631953388616,chb17
0.9371630498799438,0.9294012664237531,chb18
0.92992992992993,0.9239580673588952,chb19
0.9022566864784547,0.8635109854483208,chb20
0.9070656914715158,0.8727280804100129,chb21
0.9246962888999833,0.9118951190351074,chb22
0.9390833717181023,0.9281863672593426,chb23
0.9551432134964224,0.9498869138870288,chb24
