patient,accuracy,f1
chb01,0.9304560874481719,0.9321044547015049
chb02,0.98798470780994,0.9887623592411213
chb03,0.9834695731153497,0.9836595881972161
chb04,0.6376944190301921,0.5286760011818616
chb05,0.9676798768757214,0.9678841665846881
chb06,0.7206037576525227,0.8185978042934661
chb07,0.9451465447700995,0.9439640156427217
chb08,0.8678343949044586,0.8705912196143462
chb09,0.9126010957474563,0.9153846629665089
chb10,0.9703337453646477,0.9697398117027195
chb11,0.9187956204379562,0.9576795054683783
chb12,0.8450230995380092,0.8447230542845477
chb13,0.8471995649809679,0.8424871502137058
chb14,0.9622458857696031,0.9649079509783894
chb15,0.9636421370167501,0.9633175154967807
chb16,0.8441160066926938,0.8512510748302433
chb17,0.9257797078562969,0.9265833047395163
chb18,0.7766704416761042,0.784882952930662
chb19,0.9670558798999166,0.966964469110846
chb20,0.8925255338904364,0.9016545104280304
chb21,0.9610868835961087,0.9682692667603446
chb22,0.9750415973377704,0.974737531722925
chb23,0.9825849165227404,0.9824082812637619
chb24,0.9275790394923968,0.9266625366392792
