patient,accuracy,f1
chb01,0.9984922728986053,0.9984913516952694
chb02,0.9934462042599672,0.9933948386351462
chb03,0.9930971843778383,0.993143847342992
chb04,0.9981701738334858,0.9981688836768402
chb05,0.9980761831473643,0.998074859167846
chb06,0.9997888959256913,0.9997893434291545
chb07,0.9986555525678946,0.9986550041767166
chb08,0.9802547770700637,0.9802689200843276
chb09,0.9997391077484998,0.9997392383170612
chb10,0.9984107363588204,0.9984083048553773
chb11,0.9954379562043796,0.9954356993806474
chb12,0.9897102057958841,0.9897383058043713
chb13,0.988036976617727,0.9880295083131483
chb14,0.997676669893514,0.9976637130208104
chb15,0.9971421767087402,0.9971412705668851
chb16,0.9944227551589515,0.9942456771841384
chb17,0.9921042242400315,0.992130319631039
chb18,0.9952434881087203,0.9952116683560049
chb19,0.994161801501251,0.9941807611789628
chb20,0.9969823584029712,0.9969924283442317
chb21,0.988929889298893,0.9891454685858367
chb22,0.9991680532445923,0.9991691411967676
chb23,0.9958261370178468,0.995857680727484
chb24,0.9964992889180615,0.9965032784765662
