patient,accuracy,f1
chb01,0.9677175759864074,0.9680864183069815
chb02,1.0,1.0
chb03,0.9457787481804949,0.9413943873731255
chb04,0.6619298647719459,0.5730355154798379
chb05,0.9903474903474904,0.9903176214950525
chb06,0.9939778129952457,0.9940669424637183
chb07,0.9304582210242588,0.9276633881522857
chb08,0.8751197700415203,0.8786108540127325
chb09,0.9884937238493724,0.9884326116204937
chb10,0.9890343119915105,0.9889206105219616
chb11,0.9276225377920293,0.9624524714828896
chb12,0.8676625289290975,0.8677583330503512
chb13,0.8785403050108932,0.8683924551908773
chb14,0.9891388673390225,0.9885850942792028
chb15,0.9535271687321258,0.9527812347995084
chb16,0.9846239865809338,0.9837495070441409
chb17,0.9354199683042789,0.9325155839712885
chb18,0.7991375397185656,0.7910407719058263
chb19,0.9556299706990372,0.9543376025705441
chb20,0.9478948592695976,0.9506632966739924
chb21,0.955585464333782,0.9645827513925981
chb22,0.9594989561586639,0.9581320615561495
chb23,0.9364461738002594,0.933660613600903
chb24,0.9013359614542269,0.8957876042657466
