patient,accuracy,f1_seizure,recall_seizure,precision_seizure
chb01,0.93,0.65,0.52,0.86
chb02,0.9,0.54,0.4,0.82
chb03,0.95,0.7,0.54,0.99
chb04,0.95,0.8,0.73,0.88
chb05,0.84,0.77,0.81,0.74
chb06,0.87,0.17,0.55,0.1
chb07,0.96,0.84,0.81,0.87
chb08,0.66,0.44,0.29,0.94
chb09,0.71,0.43,0.93,0.28
chb10,0.96,0.84,0.88,0.8
chb11,0.93,0.94,0.9,0.98
chb12,0.7,0.17,0.09,0.89
chb13,0.81,0.21,0.19,0.22
chb14,0.92,0.03,0.02,0.04
chb15,0.75,0.01,0.0,0.55
chb16,0.96,0.05,0.03,0.08
chb17,0.91,0.72,0.65,0.81
chb18,0.94,0.64,0.51,0.89
chb19,0.93,0.73,0.61,0.91
chb20,0.9,0.15,0.08,0.97
chb21,0.91,0.21,0.12,0.97
chb22,0.92,0.61,0.44,0.99
chb23,0.94,0.56,0.4,0.91
chb24,0.96,0.68,0.54,0.9
